ID	Tweet	anger	anticipation	disgust	fear	joy	love	optimism	pessimism	sadness	surprise	trust
2017-En-20607	Wishing i was rich so i didnt have to get up this morning #poor #sleepy #restless #sad #needsmoresleep	True	False	True	False	False	False	False	False	True	False	False
2017-En-11512	How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder 	True	False	False	False	True	False	False	False	True	False	False
2017-En-21078	Don't be afraid to give up the good to go for the great. - John D. Rockefeller #quote #inspiration  #great #motivation	False	True	False	False	True	False	True	False	False	False	False
2017-En-31169	Nice Idea collect all relevant socialmedia in one-But dont be automatic pls #worldsapp ⬅️ #chirp #appsworld #socialmedia @DanielFeuer merci🎈	False	False	False	False	True	False	False	False	False	False	False
2017-En-40843	amateur author Twitter might be the most depressing thing I've ever seen	False	False	False	False	False	False	False	True	True	False	False
2017-En-20261	Man city's kit is dreadful!	True	False	True	False	False	False	False	False	True	False	False
2017-En-21015	#nana 4 hoco bc my dream since freshman year awe 😙❤❤❤ @thecandeyman	False	False	False	False	True	True	False	False	False	False	False
2017-En-41114	David Gilmour's biggest compliment? B.B. King asked him after a gig if he was born in Mississippi #pinkfloyd #theblues #davidgilmour #blues	False	False	False	False	True	True	False	False	False	False	False
2017-En-21898	Arguing with these people doesn't work anyway, they just threaten to put you in death camps.	True	False	True	True	False	False	False	False	False	False	False
2017-En-21941	And they cover these police shootings fairly well they dont want to miss a chance to bully you	True	False	True	False	False	False	False	False	False	False	False
2017-En-40114	@TootingCommon stop!!! Don't make me laugh when I'm being sad.	True	False	False	False	True	False	False	False	True	False	False
2017-En-40606	Refuge Recovery Boston - Weds 7:30-9 pm. #healing #support #addiction #recovery #buddhism #meditation #sober #cambma #meeting #harvardsq	False	False	False	False	True	False	True	False	False	False	True
2017-En-41514	@SalterUK second pair of scales I have bought that have stopped working after battery change. Is this an issue you are aware of?  #unhappy	True	False	False	False	False	False	False	True	True	False	False
2017-En-30567	Bring back the heyday #NominateBunkface	False	False	False	False	True	False	False	False	False	False	False
2017-En-22163	@danmericaCNN @aefadul22 HRC has the experience, temperment, knowledge &amp; ability to lead us in this perilous time	False	False	False	False	True	False	True	False	False	False	True
2017-En-21968	@indiamarshall_ that's great! It's not easy!\n&amp; it's amazing when nervousness turns into adrenaline 😂\nHad you had concerts as soloist before?	False	False	False	False	True	False	False	False	False	False	False
2017-En-11125	@JohnJHarwood @GWGMJ30 It's no secret: personal dislike of Trump &amp; animosity has always been present..now magnified with bigotry/racism etc.	True	False	True	False	False	False	False	False	False	False	False
2017-En-41524	@pottermore : I can't find my patronus, the website doesn't work, I can't even see the questions.... #sadness...	False	False	False	False	False	False	False	True	True	False	False
2017-En-22067	I don't get how people can leave their phone on don't disturb all day...does your mom not threaten you when you don't respond within seconds	True	False	True	False	False	False	False	False	False	True	False
2017-En-10402	I guess #bradangelina &gt; #anger &gt; #blacklivesmatter	True	False	False	False	False	False	False	False	False	False	False
2017-En-21121	My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism #awe	False	False	False	False	True	False	True	False	False	False	False
2017-En-22018	Beginning the process to see if working is an option. #mentalhealth #complexptsd #nervous	False	True	False	True	False	False	False	False	True	False	False
2017-En-40656	Band members wanted. Contact me #NewcastleGateshead #Sunderland #musicians #musicbusiness #musicislife #music #musically #band #blues #folk	False	True	False	False	True	False	True	False	False	False	False
2017-En-21494	@schokokitsune As much as I always eat....so no. -w- \n\nBut I shake all the time, so eeeeh. Maybe I should go see a doctor 'cause of it .w.	False	False	False	True	False	False	False	False	False	False	False
2017-En-31608	To tell the truth and make someone cry is better than to tell a lie and make someone smile. #truth #lie #cry  #offalonehugots	False	False	False	False	True	False	True	False	True	False	False
2017-En-40825	@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay #blues	False	False	False	False	False	False	False	False	True	False	False
2017-En-31229	When ya'll talkin about you know who I don't know who ya'll talkin bout, I'm on the new shit....chuckin up ma deuces......🔥🔥 #kanye #breezy	True	False	False	False	True	False	False	False	False	True	False
2017-En-40060	My soul is weary of fighting the battles in this world. #BlackInAmerica #WeAreNotSafe	True	False	True	True	False	False	False	True	True	False	False
2017-En-40712	@RashidAlMaktoum For #serious #intermediaries all required info about #project or #Owner will be mailed.	False	False	False	False	True	False	False	False	False	False	False
2017-En-30132	TheNiceBot: WSJNordics You make the world a more joyful place. #TheNiceBot #الخفجي	False	False	False	False	True	False	False	False	False	False	False
2017-En-40514	A pessimist is someone who, when opportunity knocks, complains about the noise.	False	False	True	False	False	False	True	True	True	False	False
2017-En-40026	What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing	False	False	False	False	False	False	False	False	True	False	False
2017-En-11172	@SwiftShimada SPARKLES, proud little huff. Still posing mind you.	False	True	False	False	False	False	True	False	False	False	True
2017-En-11173	No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way.	True	False	True	False	False	False	False	False	True	False	False
2017-En-30354	Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. #optimism	False	False	False	False	True	False	True	False	False	False	False
2017-En-41425	When I was new, I hate the Judge Judy sponsorship style- but looking back it was the only thing that worked. #recovery #sober #cantconacon	True	True	True	False	False	False	False	True	False	True	False
2017-En-20732	We're very busy #coding a whole network manager for #unity3d based on #steamworks networking. #gamedev #indiedev #3amDeadTime #horror #game	False	False	False	True	False	False	False	False	False	False	False
2017-En-31075	This Red Sox team is the equivalent of Tiger Woods in his heyday: no mercy.	True	False	True	False	False	False	False	False	True	False	False
2017-En-41513	Sometimes the support network is causing the damage. \n\n#support #Damaged #alone #tired #lost #hurt #nojustice #depression #surivivor #NoMore	True	False	True	False	False	False	False	True	True	False	False
2017-En-22147	@debscov65 local solutions fine but not 864 providers negotiating with 32 LA's/IJB 's #scare resources	True	False	True	True	False	False	False	True	True	False	False
2017-En-41100	I might even be on the verge of depression.	False	False	False	False	False	False	False	True	True	False	False
2017-En-11455	so many 'protests for peace' going on lately but all i see is people burning down they're own cities and hometowns. Practice what u preach.	True	False	True	False	False	False	False	False	True	False	False
2017-En-31580	I'll find Myself smiling and even laughing at jokes that I don't even think are particularly funny, and I know it's because YOU love them!	False	False	False	False	True	True	True	False	False	False	False
2017-En-40044	Summer officially ends today. #sadness	False	False	False	False	False	False	False	False	True	False	False
2017-En-40597	@KhoroshiySoldat --prepared.\n\n'Not as far as I know.' was her dull reply. 'There are still survivors, members from it. Like I said,-/	True	False	True	False	False	False	False	True	False	False	False
2017-En-10988	If i could just get my line to block!  #germantownbroncos #lilleague #popwarner #Broncos #usafootball #offense #lineman	True	False	True	False	False	False	False	False	True	False	False
2017-En-40203	@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process #sadness	False	False	False	False	False	False	False	True	True	False	False
2017-En-31612	I refuse to be a chirp chirp girl	False	False	True	False	False	False	False	False	False	False	False
2017-En-10512	@thatomahapa the best revenge is to get yourself a good woman and move on. Leave her and her hairline to figure themselves out alone	True	True	False	False	False	False	True	False	False	False	False
2017-En-11261	I told myself i wouldn't talk about this but i need to bring it up. I'm slightly bitter about the tøp cover of cancer	True	False	True	False	False	False	False	False	True	False	False
2017-En-41483	it's still not sunk in that im seeing joe next month, im so grateful and excited shit	False	False	False	False	True	False	True	False	False	False	False
2017-En-20774	@Nxrthstxr I think it's the daunting fact of the typical offer being those grades. Even though it's been proven not to be the case exactly	True	False	False	False	False	False	False	True	False	True	False
2017-En-20389	That old lady is cray cray #scared #BellaIsSoCute #awe #Empire	False	False	False	True	False	False	False	False	False	False	False
2017-En-40870	Refuse to let myself get discouraged.	False	False	False	False	True	False	True	False	False	False	True
2017-En-31395	@MacEngelProf as a fact for levity, movie theaters on Post actually did play the N.A when I served; was the best part of movies like TheHulk	False	True	False	False	True	False	True	False	False	False	False
2017-En-21951	@SurfaceSupport A profoundly disappointing experience. I have 2 pay almost $500 2 remedy a defect n the product @Microsoft sold me #terrible	True	False	True	False	False	False	False	False	True	False	False
2017-En-20068	im literally shaking bc im nervous and bc its fucking cold oh how i love life	True	False	True	True	False	False	False	False	True	False	False
2017-En-31291	@1xfly you sir are hilarious	False	False	False	False	True	False	False	False	False	False	False
2017-En-31449	Crossfit houston-la homefolks as for spry proprieties regimes: AJaFUE	False	True	False	False	False	False	False	False	False	True	False
2017-En-40970	@Mets @JdeGrom19 I'm depress now	False	False	False	True	False	False	False	True	True	False	False
2017-En-20652	@PatBlanchfield so you mean “like Uber but for despair for someone other than the driver'	False	False	True	False	False	False	False	False	False	False	False
2017-En-30330	@lawson__lynch my kinda girl pleasing the dick right😍😏	True	False	False	False	True	True	False	False	False	False	False
2017-En-40033	@xBFDR yeah I'm sure it will, it's just so depressing having to talk to my parents over the phone instead of talking to them downstairs	False	False	False	True	False	False	False	False	True	False	False
2017-En-41199	Incredibly shocked and disappointed with @united customer service. Really making me rethink flying with them in the future. #unhappy	True	False	True	False	False	False	False	True	True	False	False
2017-En-40460	It's dark	False	False	False	True	False	False	False	False	False	False	False
2017-En-40288	Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. 	False	False	False	False	True	True	True	False	True	False	False
2017-En-40516	@JohnWildy71 something, too confused to type an entire word 😜 See, I can laugh again. My hour of sadness has almost passed	False	False	False	False	True	False	True	False	False	False	False
2017-En-30178	Time to go hit up the library - I have a lovely PILE of book reservations to collect this morning... #glee #books #reading	False	False	False	False	True	False	False	False	False	False	False
2017-En-20041	i might have #hysteria ,i don't kno if it's just #anxiety or both,..need a diagnosis cuz somethin' is messed up,need ert bu i nvr come out	True	False	False	True	False	False	False	False	True	False	False
2017-En-10546	@WestonKoury so leafy can roast the Pokemon go kid but not you what an outrage that just means that he is more relevant than y-I mean kisses	True	False	True	False	False	False	False	False	False	False	False
2017-En-40751	why do i have such a thing for dark curly hAIR	False	True	False	False	False	True	False	False	False	False	False
2017-En-40941	@BokuNoGio AND his momma was worse than Tony sopranos momma #wow  #history #major	True	False	True	False	False	False	False	False	False	True	False
2017-En-21028	@PanicAtTheDisco hey, y'all announced it like immediately after I asked. Nice. Thanks y'all 	False	False	False	False	True	False	True	False	False	False	False
2017-En-20825	@zavvi @zavvihelp only offering 6 moth warranty #ps4pro  #truth #ripoff	True	False	True	False	False	False	False	False	False	False	False
2017-En-20871	You don't know what to expect by Brendon's video lmao LA devotee video got me shook 	False	True	False	True	True	False	False	False	False	True	False
2017-En-31255	@OccasionalGod isn't that the reason horror is popular? the exhilaration that comes from discomfort is enjoyable -- watch The Green Room :D	False	False	False	True	True	False	True	False	False	False	False
2017-En-10696	@LonelyGoomba I wouldn't bring this up if I were you. It's a very touchy subject. And people get way to offended these days	True	False	True	True	False	False	False	True	True	False	False
2017-En-30165	A joyous first webiversary/web mitzvah to Smithsonian's @WeiPoints!! @brianwolly @jackie_mansky @bethpylieberman @bilbo @mazeltov	False	False	False	False	True	True	True	False	False	False	True
2017-En-40034	| At home sick... 🎼The blues🎼 won't cure it so I need ideas 🎸😭 | #sorethroat #sick #blues #music #fallweather #carletonuniversity #ottawa	False	False	False	False	False	False	False	False	True	False	False
2017-En-11138	@alour @jkramon1313 you should force your neighbours to pay that!  Those people have some nerve!!!  #outrage #Victim	True	False	True	False	False	False	False	False	False	False	False
2017-En-31442	This night is sparkling don't you let it go,\nI'm wonder struck,\nBlushing on the way home.'	False	False	False	False	True	True	True	False	False	False	False
2017-En-40498	i lost my wallet lol.... again....	True	False	True	False	False	False	False	True	True	False	False
2017-En-31207	@alicereidy more of a hearty Italian man myself	False	False	False	False	True	False	True	False	False	False	False
2017-En-40762	@GOP she's ahead in the polls &amp; after Trumps dismal performance at upcoming debate, it will be an easy win for Hillary.	False	True	False	False	True	False	True	False	False	False	False
2017-En-30047	Good morning joyful people. Choose happiness to have a great day today #morning #joyful #happiness #grandmercurejktkemayoran	False	False	False	False	True	False	True	False	False	False	False
2017-En-10946	@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser	True	False	False	False	True	False	False	False	False	False	False
2017-En-10465	you know cyran still hasn't done makeup based on jeongguk's tiddy like i suggested and i'm #offended	True	False	True	False	False	False	False	False	True	False	False
2017-En-11513	bows are world of tank creats rubberbath sting weeks of	False	False	False	False	False	False	False	False	False	False	False
2017-En-21098	@aidankerrpol I think you should do. Get the fashion police involved. 	False	True	True	False	False	False	True	False	False	False	False
2017-En-41043	@MHChat Childood experiences can  leave you with permanent deep sadness as adult  it can underlie everything #MHChat	False	False	False	False	False	False	False	False	True	False	False
2017-En-10849	Follow up. Follow through. Be #relentless. #success	False	False	False	False	True	False	True	False	False	False	False
2017-En-21036	This week's Massacre Theatre pert by @LarsenOnFilm is the first one I can think of that requires subtitles. 	False	True	False	False	False	False	False	False	False	False	True
2017-En-31405	crying because @msleamichele's snapchat is bringing on some serious #glee feels 😭❤	False	False	False	False	True	False	False	False	True	False	False
2017-En-21234	Trying to book holiday flights on @britishairways website is becoming a #nightmare	True	False	True	True	False	False	False	False	False	False	False
2017-En-31020	It's an exhilarating feeling. Working hard and feeling accomplished whether they notice or not--- you feel fu*king good 🤑	False	False	False	False	True	True	True	False	False	False	False
2017-En-20118	in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat	True	False	False	True	False	False	False	False	False	False	False
2017-En-20999	@ntfc watched the cobblers loads this season how is gorre a pro footballler terrible	True	False	True	True	False	False	False	False	False	False	False
2017-En-10336	Hell hath not fury like a hamstring cramp. #ouch	True	False	True	False	False	False	False	False	False	False	False
